GEOID,TRACT,income
06085500100,5001,163061
06085500200,5002,115541
06085500300,5003,107431
06085500400,5004,152973
06085500500,5005,166514
06085500600,5006,140045
06085500800,5008,151357
06085500901,5009.01,72112
06085500902,5009.02,42955
06085501000,5010,58775
06085501101,5011.01,105138
06085501102,5011.02,144609
06085501200,5012,108913
06085501300,5013,145260
06085501401,5014.01,80216
06085501402,5014.02,94491
06085501501,5015.01,81859
06085501502,5015.02,111089
06085501601,5016.01,120770
06085501602,5016.02,58466
06085501700,5017,94736
06085501800,5018,142235
06085501901,5019.01,147727
06085501902,5019.02,151140
06085502001,5020.01,94794
06085502002,5020.02,117969
06085502101,5021.01,144038
06085502103,5021.03,91591
06085502104,5021.04,102105
06085502202,5022.02,113958
06085502203,5022.03,125750
06085502204,5022.04,68508
06085502301,5023.01,177692
06085502302,5023.02,127175
06085502400,5024,222311
06085502500,5025,225694
06085502601,5026.01,193125
06085502603,5026.03,206125
06085502604,5026.04,110581
06085502701,5027.01,133658
06085502703,5027.03,145541
06085502704,5027.04,183214
06085502800,5028,185962
06085502901,5029.01,135846
06085502902,5029.02,207614
06085502903,5029.03,250000
06085502906,5029.06,126438
06085502907,5029.07,213056
06085502908,5029.08,166382
06085502909,5029.09,101607
06085502910,5029.10,110091
06085503001,5030.01,148750
06085503002,5030.02,139863
06085503003,5030.03,207000
06085503105,5031.05,61838
06085503110,5031.10,77353
06085503111,5031.11,133628
06085503112,5031.12,76156
06085503113,5031.13,95625
06085503116,5031.16,109509
06085503117,5031.17,79205
06085503118,5031.18,98527
06085503121,5031.21,92607
06085503122,5031.22,46371
06085503123,5031.23,65525
06085503124,5031.24,124229
06085503125,5031.25,160833
06085503126,5031.26,178929
06085503127,5031.27,191908
06085503207,5032.07,145278
06085503208,5032.08,163558
06085503210,5032.10,120729
06085503211,5032.11,104677
06085503212,5032.12,128750
06085503213,5032.13,72174
06085503217,5032.17,81786
06085503218,5032.18,53036
06085503219,5032.19,60451
06085503220,5032.20,96705
06085503221,5032.21,49323
06085503222,5032.22,122526
06085503304,5033.04,101039
06085503305,5033.05,103000
06085503306,5033.06,119091
06085503312,5033.12,176607
06085503313,5033.13,250000
06085503315,5033.15,152083
06085503321,5033.21,152238
06085503322,5033.22,151250
06085503323,5033.23,169484
06085503324,5033.24,170399
06085503325,5033.25,145991
06085503326,5033.26,235673
06085503327,5033.27,172381
06085503329,5033.29,217369
06085503330,5033.30,250000
06085503331,5033.31,126324
06085503332,5033.32,132969
06085503333,5033.33,213003
06085503336,5033.36,190000
06085503337,5033.37,159904
06085503338,5033.38,250000
06085503339,5033.39,250000
06085503401,5034.01,111576
06085503402,5034.02,79306
06085503504,5035.04,139180
06085503506,5035.06,101146
06085503507,5035.07,168716
06085503508,5035.08,125469
06085503509,5035.09,151786
06085503510,5035.10,135926
06085503511,5035.11,125972
06085503601,5036.01,98021
06085503602,5036.02,98611
06085503703,5037.03,105455
06085503707,5037.07,109000
06085503708,5037.08,103446
06085503709,5037.09,78089
06085503710,5037.10,43125
06085503711,5037.11,109167
06085503712,5037.12,50612
06085503713,5037.13,68636
06085503802,5038.02,114023
06085503803,5038.03,190855
06085503804,5038.04,141289
06085503902,5039.02,121083
06085503903,5039.03,131806
06085504001,5040.01,87364
06085504002,5040.02,92091
06085504101,5041.01,144167
06085504102,5041.02,156450
06085504201,5042.01,197750
06085504202,5042.02,229028
06085504307,5043.07,154801
06085504308,5043.08,212941
06085504311,5043.11,173106
06085504314,5043.14,210357
06085504315,5043.15,182784
06085504316,5043.16,192188
06085504317,5043.17,180859
06085504318,5043.18,106535
06085504319,5043.19,227279
06085504320,5043.20,183571
06085504321,5043.21,189867
06085504322,5043.22,167583
06085504323,5043.23,161552
06085504410,5044.10,153523
06085504411,5044.11,166354
06085504412,5044.12,149659
06085504413,5044.13,155982
06085504414,5044.14,165761
06085504415,5044.15,213654
06085504416,5044.16,190981
06085504418,5044.18,116310
06085504421,5044.21,172500
06085504422,5044.22,141111
06085504423,5044.23,181250
06085504424,5044.24,153333
06085504505,5045.05,229572
06085504506,5045.06,164879
06085504507,5045.07,163724
06085504508,5045.08,186083
06085504509,5045.09,181165
06085504510,5045.10,159186
06085504601,5046.01,74250
06085504602,5046.02,121953
06085504700,5047,194917
06085504802,5048.02,116525
06085504805,5048.05,149207
06085504806,5048.06,158750
06085504807,5048.07,230829
06085504808,5048.08,117054
06085504902,5049.02,196797
06085504903,5049.03,226711
06085505006,5050.06,240086
06085505007,5050.07,164115
